City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
162,Henties Bay,NA,2022-04-02 20:39:11,-22.116,14.2845,60.62,87,0,9.8,clear sky
163,Saint-Francois,FR,2022-04-02 20:39:12,46.4154,3.9054,33.67,80,0,10.36,clear sky
164,Metro,ID,2022-04-02 20:39:12,-5.1131,105.3067,74.1,93,85,3.13,overcast clouds
165,Waipawa,NZ,2022-04-02 20:39:12,-41.4122,175.5153,58.14,86,35,0.81,scattered clouds
166,Mar Del Plata,AR,2022-04-02 20:35:15,-38.0023,-57.5575,69.82,64,0,20.0,clear sky
167,Tazovskiy,RU,2022-04-02 20:39:13,67.4667,78.7,-3.55,100,92,6.4,overcast clouds
168,Mapiri,BO,2022-04-02 20:39:13,-15.25,-68.1667,74.84,78,75,2.62,broken clouds
169,Vallenar,CL,2022-04-02 20:39:14,-28.5708,-70.7581,77.58,30,0,8.32,clear sky
170,Pisco,PE,2022-04-02 20:39:14,-13.7,-76.2167,73.45,68,0,23.02,clear sky
171,Otavi,NA,2022-04-02 20:39:14,-19.65,17.3333,66.0,86,100,1.34,overcast clouds
172,Saint-Dizier,FR,2022-04-02 20:39:15,48.4167,5.0833,31.6,98,100,7.81,light snow
173,Tuktoyaktuk,CA,2022-04-02 20:39:15,69.4541,-133.0374,-14.8,70,40,10.36,scattered clouds
174,Palmer,US,2022-04-02 20:39:15,42.1584,-72.3287,53.78,27,40,11.5,scattered clouds
175,Pangai,TO,2022-04-02 20:39:16,-19.8,-174.35,80.67,76,5,10.49,clear sky
176,Tarakan,ID,2022-04-02 20:39:16,3.3,117.6333,76.68,84,100,7.9,overcast clouds
177,Sorland,NO,2022-04-02 20:39:17,67.667,12.6934,34.0,54,100,23.49,overcast clouds
178,Ordu,TR,2022-04-02 20:39:17,40.9086,37.6845,43.3,58,100,5.53,overcast clouds
179,Dalbandin,PK,2022-04-02 20:40:17,28.8947,64.4101,72.12,12,0,7.2,clear sky
180,Victoria,HK,2022-04-02 20:40:18,22.2855,114.1577,62.26,66,96,3.0,overcast clouds
181,Dakar,SN,2022-04-02 20:40:18,14.6937,-17.4441,70.68,94,0,11.5,clear sky
182,Richards Bay,ZA,2022-04-02 20:40:18,-28.783,32.0377,71.87,95,92,3.09,moderate rain
